Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT2545,,sangs rgyas 'byung ba zhes bya ba,I1PD95887,1167-1170,I1PD958871224.jpg,I1PD958871227.jpg
AT2546,Q4666,dbang bzhi pa'i rnam par bzhag pa,I1PD95887,1171-1174,I1PD958871228.jpg,I1PD958871231.jpg
AT2547,Q4667,shrI ba san ta ti la ka zhes bya ba,I1PD95887,1177-1199,I1PD958871234.jpg,I1PD958871256.jpg
AT2548,Q4668,dpal rdo rje rnal 'byor ma'i gsang ba'i sgrub thabs zhes bya ba,I1PD95887,1200-1206,I1PD958871257.jpg,I1PD958871263.jpg
AT2549,Q4669,rdo rje rnal 'byor ma dbu bcad ma'i sgrub thabs zhes bya ba,I1PD95887,1207-1210,I1PD958871264.jpg,I1PD958871267.jpg
AT2550,Q4670,shes rab snang ba sgrub pa'i thabs,I1PD95887,1211-1219,I1PD958871268.jpg,I1PD958871276.jpg
AT2552,Q4672,dpal rdo rje phag mo shes rab gsal byed ces bya ba'i sgrub thabs,I1PD95887,1222-1230,I1PD958871279.jpg,I1PD958871287.jpg
AT2555,Q4675,rnal 'byor ma drug gi sgrub pa'i thabs,I1PD95887,1238-1242,I1PD958871295.jpg,I1PD958871299.jpg
AT2556,Q4676,las kyi cho ga,I1PD95887,1243-1255,I1PD958871300.jpg,I1PD958871312.jpg
AT2557,Q4677,rnal 'byor ma'i sgrub thabs,I1PD95887,1256-1278,I1PD958871313.jpg,I1PD958871335.jpg
AT2558,Q4678,rig pa 'dzin ma rtsen ma'i rjes gnang sgrub thabs,I1PD95887,1279-1282,I1PD958871336.jpg,I1PD958871339.jpg
AT2559,Q4679,rdo rje phag mo rig pa 'dzin ma rtsen ma'i sgrub pa'i thabs,I1PD95887,1283-1286,I1PD958871340.jpg,I1PD958871343.jpg
AT2560,Q4683,rdo rje phag mo mchod pa'i sgrub thabs,I1PD95887,1287-1292,I1PD958871344.jpg,I1PD958871349.jpg
AT2561,Q4684,rdo rje phag mo'i sgrub thabs rim pa lnga pa zhes bya ba rngon pa'i gdams ngag,I1PD95887,1293-1306,I1PD958871350.jpg,I1PD958871363.jpg
AT2562,Q4685,rdo rje rnal 'byor ma sbas pa'i sgom pa,I1PD95887,1307-1310,I1PD958871364.jpg,I1PD958871367.jpg
AT2564,Q4687,dpal dgyes pa'i rdo rje'i dka' 'grel rin po che sbyor ba'i 'phreng ba,I1PD95887,1316-1473,I1PD958871373.jpg,I1PD958871530.jpg
AT2565,Q4688,sngags kyi bstan chos gsang ba'i mdzod ces bya ba,I1PD95887,1474-1487,I1PD958871531.jpg,I1PD958871544.jpg
AT2567,Q4690,phyag rgya bzhi'i sgrub thabs zhes bya ba,I1PD95887,1496-1501,I1PD958871553.jpg,I1PD958871558.jpg
